customerID,Gender,Elderly,Married,Dependents,Time_as_Client,PhoneService,Internet_Service,Security_Service,Suport,StreamingTV,Contract_Type,PaymentMethod,Monthly_Payment,Total_Paid,Churn
3841-NFECX,F,1,Yes,No,71,Yes,FIBER OPTIC,Yes,Yes,No,Two year,Credit card (automatic),65.61,6766.95,No
4929-XIHVW,M,1,Yes,No,2,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Credit card (automatic),65.61,181.65,No
6827-IEAUQ,F,0,Yes,Yes,27,Yes,DSL,Yes,Yes,No,One year,Mailed check,65.61,1874.45,No
7310-EGVHZ,M,0,No,No,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),65.61,20.2,No
3413-BMNZE,M,1,No,No,1,Yes,DSL,No,No,No,Month-to-month,Bank transfer (automatic),65.61,45.25,No
6234-RAAPL,F,0,Yes,Yes,72,Yes,FIBER OPTIC,Yes,Yes,Yes,Two year,Bank transfer (automatic),65.61,7251.7,No
6047-YHPVI,M,0,No,No,5,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,65.61,316.9,Yes
6572-ADKRS,F,0,No,No,46,Yes,FIBER OPTIC,No,No,No,Month-to-month,Credit card (automatic),65.61,3548.3,No
5380-WJKOV,M,0,No,No,34,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,65.61,3549.25,Yes
8168-UQWWF,F,0,No,No,11,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Bank transfer (automatic),65.61,1105.4,Yes
8865-TNMNX,M,0,Yes,Yes,10,Yes,DSL,No,No,No,One year,Mailed check,65.61,475.7,No
9489-DEDVP,F,0,Yes,Yes,70,Yes,DSL,Yes,No,Yes,Two year,Credit card (automatic),65.61,4872.35,No
9867-JCZSP,F,0,Yes,Yes,17,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,65.61,418.25,No
4671-VJLCL,F,0,No,No,63,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),65.61,4861.45,No
4080-IIARD,F,0,Yes,No,13,Yes,DSL,Yes,Yes,Yes,Month-to-month,Electronic check,65.61,981.45,No
3714-NTNFO,F,0,No,No,49,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,65.61,3906.7,No
5948-UJZLF,M,0,No,No,2,Yes,DSL,No,No,No,Month-to-month,Mailed check,65.61,97.0,No
7760-OYPDY,F,0,No,No,2,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,65.61,144.15,Yes
7639-LIAYI,M,0,No,No,52,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),65.61,4217.8,No
2954-PIBKO,F,0,Yes,Yes,69,Yes,DSL,Yes,Yes,No,Two year,Credit card (automatic),65.61,4254.1,No
8012-SOUDQ,F,1,No,No,43,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,65.61,3838.75,No
9420-LOJKX,F,0,No,No,15,Yes,FIBER OPTIC,Yes,No,Yes,Month-to-month,Credit card (automatic),65.61,1426.4,Yes
6575-SUVOI,F,1,Yes,No,25,Yes,DSL,Yes,Yes,Yes,Month-to-month,Credit card (automatic),65.61,1752.65,No
7495-OOKFY,F,1,Yes,No,8,Yes,FIBER OPTIC,No,No,No,Month-to-month,Credit card (automatic),65.61,633.3,Yes
4667-QONEA,F,1,Yes,Yes,60,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),65.61,4456.35,No
1658-BYGOY,M,1,No,No,18,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,65.61,1752.55,Yes
8769-KKTPH,F,0,Yes,Yes,63,Yes,FIBER OPTIC,Yes,No,Yes,One year,Credit card (automatic),65.61,6311.2,No
5067-XJQFU,M,1,Yes,Yes,66,Yes,FIBER OPTIC,No,Yes,Yes,One year,Electronic check,65.61,7076.35,No
3957-SQXML,F,0,Yes,Yes,34,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),65.61,894.3,No
5954-BDFSG,F,0,No,No,72,Yes,FIBER OPTIC,No,Yes,Yes,Two year,Credit card (automatic),65.61,7853.7,No
0434-CSFON,F,0,Yes,No,47,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,65.61,4707.1,No
1215-FIGMP,M,0,No,No,60,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Bank transfer (automatic),65.61,5450.7,No
0526-SXDJP,M,0,Yes,No,72,No,DSL,Yes,No,No,Two year,Bank transfer (automatic),65.61,2962.0,No
0557-ASKVU,F,0,Yes,Yes,18,Yes,DSL,No,Yes,No,One year,Credit card (automatic),65.61,957.1,No
5698-BQJOH,F,0,No,No,9,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,65.61,857.25,Yes
5122-CYFXA,F,0,No,No,3,Yes,DSL,No,Yes,Yes,Month-to-month,Electronic check,65.61,244.1,No
8627-ZYGSZ,M,0,Yes,No,47,Yes,FIBER OPTIC,No,No,No,One year,Electronic check,65.61,3650.35,No
3410-YOQBQ,F,0,No,No,31,Yes,DSL,No,Yes,Yes,Two year,Mailed check,65.61,2497.2,No
3170-NMYVV,F,0,Yes,Yes,50,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.61,930.9,No
7410-OIEDU,M,0,No,No,10,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Mailed check,65.61,887.35,No
2273-QCKXA,M,0,No,No,1,Yes,DSL,No,Yes,No,Month-to-month,Mailed check,65.61,49.05,No
0731-EBJQB,F,0,Yes,Yes,52,Yes,NO,No internet service,No internet service,No internet service,One year,Electronic check,65.61,1090.65,No
1891-QRQSA,M,1,Yes,Yes,64,Yes,FIBER OPTIC,Yes,Yes,Yes,Two year,Bank transfer (automatic),65.61,7099.0,No
8028-PNXHQ,M,0,Yes,Yes,62,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.61,1424.6,No
5630-AHZIL,F,0,No,Yes,3,Yes,DSL,Yes,Yes,No,Month-to-month,Bank transfer (automatic),65.61,177.4,No
2673-CXQEU,F,1,No,No,56,Yes,FIBER OPTIC,Yes,No,Yes,One year,Electronic check,65.61,6139.5,No
6416-JNVRK,F,0,No,No,46,Yes,DSL,No,No,No,One year,Credit card (automatic),65.61,2688.85,No
5590-ZSKRV,F,0,Yes,Yes,8,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,65.61,482.25,No
0191-ZHSKZ,M,1,No,No,30,Yes,DSL,Yes,No,Yes,Month-to-month,Electronic check,65.61,2111.3,No
3887-PBQAO,F,0,Yes,Yes,45,Yes,NO,No internet service,No internet service,No internet service,One year,Credit card (automatic),65.61,1216.6,No
5919-TMRGD,F,0,No,Yes,1,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,65.61,79.35,Yes
8108-UXRQN,F,0,Yes,Yes,11,No,DSL,Yes,No,Yes,Month-to-month,Electronic check,65.61,565.35,No
9191-MYQKX,F,0,Yes,No,7,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),65.61,496.9,Yes
9919-YLNNG,F,0,No,No,42,Yes,FIBER OPTIC,No,Yes,Yes,Month-to-month,Bank transfer (automatic),65.61,4327.5,No
0318-ZOPWS,F,0,Yes,No,49,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.61,973.35,No
4445-ZJNMU,M,0,No,No,9,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Credit card (automatic),65.61,918.75,No
4808-YNLEU,F,0,Yes,No,35,Yes,DSL,Yes,No,Yes,One year,Bank transfer (automatic),65.61,2215.45,No
1862-QRWPE,F,0,Yes,Yes,48,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.61,1057.0,No
2796-NNUFI,F,0,Yes,Yes,46,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,65.61,927.1,No
3016-KSVCP,M,0,Yes,No,29,No,DSL,No,No,Yes,Month-to-month,Mailed check,65.61,1009.25,No
4767-HZZHQ,M,0,Yes,Yes,30,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),65.61,2570.2,No
2424-WVHPL,M,1,No,No,1,Yes,FIBER OPTIC,No,Yes,No,Month-to-month,Electronic check,65.61,74.7,No
7233-PAHHL,M,0,Yes,Yes,66,Yes,DSL,Yes,Yes,Yes,Two year,Mailed check,65.61,5714.25,No
6067-NGCEU,F,0,No,No,65,Yes,FIBER OPTIC,Yes,No,Yes,Month-to-month,Credit card (automatic),65.61,7107.0,No
9848-JQJTX,M,0,No,No,72,Yes,FIBER OPTIC,No,No,Yes,Two year,Bank transfer (automatic),65.61,7459.05,No
8637-XJIVR,F,0,No,No,12,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Electronic check,65.61,927.35,Yes
9803-FTJCG,M,0,Yes,Yes,71,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),65.61,4748.7,No
0278-YXOOG,M,0,No,No,5,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.61,113.85,Yes
3212-KXOCR,M,0,No,No,52,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.61,1107.2,No
4598-XLKNJ,F,1,Yes,No,25,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,65.61,2514.5,Yes
6380-ARCEH,M,0,No,No,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.61,20.2,No
3679-XASPY,F,0,Yes,Yes,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Electronic check,65.61,19.45,No
7123-WQUHX,M,0,No,No,38,Yes,FIBER OPTIC,No,Yes,Yes,One year,Bank transfer (automatic),65.61,3605.6,No
5386-THSLQ,F,1,Yes,No,66,No,DSL,No,No,Yes,One year,Bank transfer (automatic),65.61,3027.25,No
3192-NQECA,M,0,Yes,No,68,Yes,FIBER OPTIC,No,Yes,Yes,Two year,Bank transfer (automatic),65.61,7611.85,Yes
6180-YBIQI,M,0,No,No,5,No,DSL,No,No,No,Month-to-month,Mailed check,65.61,100.2,No
6728-DKUCO,F,0,Yes,Yes,72,Yes,FIBER OPTIC,Yes,No,Yes,One year,Electronic check,65.61,7303.05,No
9750-BOOHV,F,0,No,No,32,No,DSL,Yes,No,No,One year,Mailed check,65.61,927.65,No
8597-CWYHH,M,0,No,No,43,Yes,FIBER OPTIC,No,No,Yes,One year,Mailed check,65.61,3921.3,No
2848-YXSMW,M,0,Yes,Yes,72,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),65.61,1363.25,No
0486-HECZI,M,0,Yes,No,55,Yes,FIBER OPTIC,Yes,No,Yes,Month-to-month,Electronic check,65.61,5238.9,Yes
4549-ZDQYY,F,0,No,No,52,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),65.61,3042.25,No
5712-AHQNN,F,0,No,No,43,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,65.61,3954.1,No
4846-WHAFZ,F,1,Yes,No,37,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,65.61,2868.15,Yes
5256-SKJGO,F,0,Yes,Yes,64,No,DSL,No,Yes,Yes,Two year,Electronic check,65.61,3423.5,No
3071-VBYPO,M,0,Yes,Yes,3,Yes,FIBER OPTIC,Yes,No,Yes,Month-to-month,Electronic check,65.61,248.4,No
9560-BBZXK,F,0,No,No,36,No,DSL,Yes,No,No,Two year,Bank transfer (automatic),65.61,1126.35,No
5299-RULOA,F,0,Yes,Yes,10,Yes,FIBER OPTIC,Yes,No,Yes,Month-to-month,Electronic check,65.61,1064.65,Yes
8402-OOOHJ,F,0,No,No,41,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,65.61,835.15,No
9445-ZUEQE,M,0,Yes,Yes,27,Yes,FIBER OPTIC,No,Yes,No,Month-to-month,Credit card (automatic),65.61,2151.6,No
1091-SOZGA,F,0,Yes,Yes,56,Yes,FIBER OPTIC,No,No,Yes,One year,Credit card (automatic),65.61,5515.45,No
2928-HLDBA,F,0,No,No,6,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.61,112.75,No
0404-SWRVG,M,0,No,No,3,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,65.61,229.55,Yes
6497-TILVL,F,0,Yes,Yes,7,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,65.61,350.35,No
7219-TLZHO,F,0,Yes,Yes,4,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.61,62.9,No
4622-YNKIJ,M,0,No,No,33,Yes,FIBER OPTIC,Yes,Yes,Yes,Two year,Electronic check,65.61,3027.65,No
4412-YLTKF,F,1,No,No,27,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,65.61,2135.5,Yes
6734-PSBAW,M,0,Yes,No,72,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.61,1723.95,No
3930-ZGWVE,M,0,No,No,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.61,19.75,No
2639-UGMAZ,M,1,No,No,71,No,DSL,Yes,No,Yes,One year,Electronic check,65.61,3985.35,No
2876-GZYZC,F,0,No,No,13,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,65.61,1215.65,No
6207-WIOLX,F,0,Yes,Yes,25,No,DSL,Yes,No,Yes,Month-to-month,Credit card (automatic),65.61,1502.65,Yes
8587-XYZSF,M,0,No,No,67,Yes,DSL,No,Yes,No,Two year,Bank transfer (automatic),65.61,3260.1,No
3091-FYHKI,M,0,No,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,65.61,35.45,Yes
2372-HWUHI,M,0,No,No,2,Yes,DSL,No,No,No,Month-to-month,Electronic check,65.61,81.25,Yes
7799-LGRDP,F,0,No,No,43,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),65.61,1188.2,No
7850-VWJUU,F,0,No,No,23,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Bank transfer (automatic),65.61,1778.5,No
3774-VBNXY,F,0,Yes,Yes,64,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,65.61,1277.75,No
6217-KDYWC,M,0,No,Yes,57,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,65.61,1170.55,No
0390-DCFDQ,F,1,Yes,No,1,Yes,FIBER OPTIC,No,No,No,Month-to-month,Mailed check,65.61,70.45,Yes
3146-MSEGF,F,1,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),65.61,6425.65,No
4080-OGPJL,F,0,No,No,8,Yes,DSL,Yes,Yes,No,Month-to-month,Electronic check,65.61,563.65,Yes
1095-WGNGG,F,0,Yes,No,61,Yes,FIBER OPTIC,No,No,Yes,Two year,Bank transfer (automatic),65.61,5971.25,No
2636-SJDOU,M,0,No,No,64,Yes,FIBER OPTIC,Yes,No,No,One year,Credit card (automatic),65.61,5289.05,No
1131-QQZEB,M,1,Yes,No,71,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.61,1756.2,No
5716-EZXZN,F,0,Yes,Yes,65,Yes,FIBER OPTIC,Yes,Yes,Yes,Two year,Credit card (automatic),65.61,6416.7,No
6837-BJYDQ,M,0,No,No,3,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,65.61,61.35,No
2135-RXIHG,M,0,No,No,1,Yes,DSL,No,No,No,Month-to-month,Electronic check,65.61,45.65,Yes
6440-DKQGE,M,0,No,Yes,30,Yes,DSL,No,No,Yes,One year,Credit card (automatic),65.61,1929.95,No
3466-BYAVD,M,0,Yes,Yes,15,Yes,DSL,No,Yes,No,Month-to-month,Mailed check,65.61,1071.4,No
3780-YVMFA,F,0,Yes,Yes,8,Yes,DSL,No,Yes,Yes,Month-to-month,Electronic check,65.61,564.35,No
3874-EQOEP,M,0,No,No,7,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Mailed check,65.61,655.5,Yes
1679-JRFBR,F,0,Yes,Yes,70,Yes,FIBER OPTIC,Yes,No,Yes,One year,Credit card (automatic),65.61,7930.55,No
9073-ZZIAY,M,0,Yes,Yes,62,Yes,DSL,Yes,Yes,Yes,Two year,Electronic check,65.61,5215.25,No
3077-RSNTJ,F,0,Yes,Yes,6,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.61,113.5,No
6551-GNYDG,F,0,Yes,Yes,14,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),65.61,1152.8,No
9167-APMXZ,F,0,No,No,22,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Bank transfer (automatic),65.61,1821.95,No
2749-CTKAJ,M,0,Yes,Yes,22,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,65.61,419.9,No
6371-NZYEG,M,0,Yes,Yes,16,Yes,DSL,Yes,No,Yes,Two year,Mailed check,65.61,1024.0,No
7554-NEWDD,M,0,No,No,10,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.61,251.6,No
8992-VONJD,F,0,No,Yes,13,Yes,DSL,Yes,No,No,Month-to-month,Electronic check,65.61,764.55,No
0867-MKZVY,F,0,Yes,No,20,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Electronic check,65.61,1592.35,Yes
4482-EWFMI,F,0,No,No,2,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,65.61,135.2,No
4648-YPBTM,M,0,No,No,53,Yes,DSL,No,Yes,No,Two year,Bank transfer (automatic),65.61,3958.25,No
2907-ILJBN,F,0,Yes,Yes,11,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,65.61,233.9,No
6345-FZOQH,M,0,Yes,No,69,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,65.61,1363.45,No
3376-BMGFE,F,0,No,No,4,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),65.61,273.0,Yes
5997-OPVFA,M,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Two year,Bank transfer (automatic),65.61,6254.45,No
3445-HXXGF,M,1,Yes,No,58,Yes,DSL,No,No,No,Month-to-month,Electronic check,65.61,2651.2,Yes
1159-WFSGR,F,0,Yes,Yes,16,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Electronic check,65.61,321.4,No
7654-YWJUF,M,0,Yes,No,43,Yes,FIBER OPTIC,Yes,Yes,No,One year,Bank transfer (automatic),65.61,3539.25,No
1875-QIVME,F,0,Yes,No,2,Yes,FIBER OPTIC,No,Yes,Yes,Month-to-month,Electronic check,65.61,242.8,Yes
6727-IOTLZ,M,0,Yes,No,14,Yes,DSL,No,Yes,Yes,Two year,Mailed check,65.61,1181.75,No
0691-JVSYA,F,0,Yes,No,53,Yes,FIBER OPTIC,No,No,Yes,One year,Bank transfer (automatic),65.61,5000.2,Yes
5918-VUKWP,F,0,No,No,32,Yes,NO,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),65.61,654.55,No
1744-JHKYS,F,0,Yes,No,34,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Electronic check,65.61,780.2,No
2656-FMOKZ,F,1,No,No,15,Yes,FIBER OPTIC,No,No,No,Month-to-month,Mailed check,65.61,1145.7,Yes
2070-FNEXE,F,1,No,No,7,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Bank transfer (automatic),65.61,503.6,Yes
5947-SGKCL,F,0,Yes,Yes,15,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Bank transfer (automatic),65.61,1559.25,No
3712-PKXZA,M,0,Yes,No,61,Yes,NO,No internet service,No internet service,No internet service,One year,Credit card (automatic),65.61,1252.0,No
6317-YPKDH,F,0,No,No,1,Yes,DSL,No,No,No,Month-to-month,Bank transfer (automatic),65.61,29.95,Yes
6582-OIVSP,F,0,No,No,1,Yes,DSL,No,No,No,Month-to-month,Mailed check,65.61,45.3,No
9367-WXLCH,M,0,No,No,8,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),65.61,662.65,Yes
5524-KHNJP,M,0,Yes,Yes,33,Yes,DSL,Yes,No,Yes,One year,Credit card (automatic),65.61,2453.3,No
1918-ZBFQJ,F,0,No,No,13,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,65.61,1111.65,Yes
1024-GUALD,F,0,Yes,No,1,Yes,DSL,No,No,No,Month-to-month,Electronic check,65.61,24.8,Yes
4827-USJHP,M,0,No,No,20,Yes,DSL,No,No,No,Month-to-month,Mailed check,65.61,1023.85,No
8167-GJLRN,M,0,No,No,3,Yes,DSL,No,Yes,No,Month-to-month,Electronic check,65.61,82.15,No
0956-SYCWG,F,0,No,No,13,Yes,NO,No internet service,No internet service,No internet service,One year,Electronic check,65.61,244.8,No
8017-UVSZU,F,0,Yes,No,40,Yes,DSL,No,No,No,Month-to-month,Credit card (automatic),65.61,2379.1,No
7100-FQPRV,M,0,Yes,Yes,43,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),65.61,3173.35,No
2472-OVKUP,M,0,Yes,No,6,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,65.61,531.0,Yes
2984-RGEYA,F,0,Yes,Yes,69,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.61,1375.4,No
9680-NIAUV,F,0,Yes,Yes,72,Yes,FIBER OPTIC,Yes,No,Yes,Two year,Credit card (automatic),65.61,8129.3,No
2146-EGVDT,M,0,Yes,Yes,59,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),65.61,1192.7,No
2604-IJPDU,F,0,Yes,No,20,Yes,FIBER OPTIC,Yes,Yes,Yes,Month-to-month,Electronic check,65.61,1901.65,No
9178-JHUVJ,M,0,Yes,Yes,24,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.61,587.4,No
6168-YBYNP,M,0,No,No,59,Yes,FIBER OPTIC,No,Yes,Yes,Month-to-month,Electronic check,65.61,6519.75,No
7255-SSFBC,M,0,Yes,Yes,72,Yes,FIBER OPTIC,No,Yes,Yes,Two year,Bank transfer (automatic),65.61,8041.65,No
3645-DEYGF,M,0,No,Yes,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.61,20.75,No
9323-HGFWY,F,0,Yes,No,27,Yes,FIBER OPTIC,Yes,Yes,Yes,One year,Credit card (automatic),65.61,2681.15,No
8544-GOQSH,F,0,No,No,14,Yes,FIBER OPTIC,No,Yes,No,Month-to-month,Credit card (automatic),65.61,1112.3,No
3363-DTIVD,M,0,Yes,Yes,71,Yes,FIBER OPTIC,Yes,No,Yes,Two year,Electronic check,65.61,7405.5,No
7018-WBJNK,M,0,No,Yes,13,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Credit card (automatic),65.61,1033.95,No
9142-KZXOP,M,0,No,No,44,Yes,FIBER OPTIC,No,No,No,Month-to-month,Credit card (automatic),65.61,2958.95,No
7674-YTAFD,F,0,No,No,33,Yes,FIBER OPTIC,No,Yes,No,One year,Bank transfer (automatic),65.61,2684.85,No
6348-SNFUS,M,0,Yes,Yes,72,Yes,DSL,Yes,Yes,No,Two year,Credit card (automatic),65.61,4179.2,No
1285-OKIPP,M,0,No,No,1,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,65.61,79.9,Yes
7825-ECJRF,F,0,No,No,19,Yes,FIBER OPTIC,Yes,Yes,Yes,Month-to-month,Electronic check,65.61,1934.45,Yes
1347-KTTTA,M,0,Yes,No,64,Yes,FIBER OPTIC,No,Yes,Yes,One year,Credit card (automatic),65.61,6654.1,No
7841-TZDMQ,M,0,No,No,2,Yes,DSL,No,No,No,Month-to-month,Credit card (automatic),65.61,84.5,Yes
4195-NZGTA,F,0,No,No,1,Yes,DSL,No,No,No,Month-to-month,Electronic check,65.61,25.25,No
7157-SMCFK,M,0,No,Yes,61,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,65.61,1124.2,No
4709-LKHYG,F,0,Yes,Yes,29,Yes,NO,No internet service,No internet service,No internet service,One year,Electronic check,65.61,540.05,No
2504-DSHIH,M,1,Yes,No,23,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,65.61,1975.85,No
0699-NDKJM,F,0,Yes,No,57,Yes,DSL,Yes,No,Yes,Month-to-month,Bank transfer (automatic),65.61,3437.45,No
9286-BHDQG,M,0,Yes,Yes,72,Yes,DSL,Yes,Yes,No,Two year,Credit card (automatic),65.61,3139.8,No
0230-WEQUW,M,0,Yes,No,66,Yes,DSL,Yes,Yes,Yes,Two year,Bank transfer (automatic),65.61,3789.2,No
2040-LDIWQ,M,0,Yes,Yes,65,Yes,DSL,No,Yes,Yes,Two year,Bank transfer (automatic),65.61,5324.5,No
6496-JDSSB,F,0,No,No,8,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Bank transfer (automatic),65.61,624.6,No
9408-SSNVZ,F,0,No,No,4,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,65.61,268.35,Yes
4443-EMBNA,F,0,Yes,No,71,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.61,1836.9,No
6469-MRVET,M,0,Yes,Yes,1,Yes,NO,No internet service,No internet service,No internet service,One year,Electronic check,65.61,20.2,No
